epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4181.75,0.53339,0.41544,0.90346,0.90239,0.89941,0.94843,0.85461,0.52982,0.41541,0.94495,0.005842,0.005842,0.005842
44,4282.61,0.53414,0.417,0.90453,0.9163,0.88554,0.94838,0.85584,0.5279,0.41197,0.943,0.005743,0.005743,0.005743
45,4382.97,0.52946,0.41205,0.90125,0.90026,0.90265,0.94895,0.85692,0.5271,0.41164,0.94358,0.005644,0.005644,0.005644
46,4483.81,0.52554,0.40949,0.90184,0.90749,0.89426,0.94814,0.85831,0.52253,0.40729,0.94089,0.005545,0.005545,0.005545
47,4585.05,0.52869,0.41128,0.90374,0.91048,0.8927,0.94897,0.85863,0.52367,0.40643,0.94281,0.005446,0.005446,0.005446
48,4685.53,0.53027,0.40824,0.90105,0.91607,0.88769,0.94801,0.85823,0.52373,0.40665,0.94497,0.005347,0.005347,0.005347
49,4786.99,0.52273,0.4063,0.90097,0.91268,0.8958,0.94988,0.85951,0.51979,0.40233,0.9438,0.005248,0.005248,0.005248
50,4888.83,0.52244,0.4089,0.90309,0.90621,0.89821,0.94928,0.85973,0.51473,0.40658,0.94157,0.005149,0.005149,0.005149
51,4991.31,0.51965,0.40281,0.90056,0.90765,0.89458,0.94885,0.85991,0.51526,0.40764,0.94147,0.00505,0.00505,0.00505
52,5092.82,0.51528,0.39855,0.89639,0.914,0.893,0.9485,0.86023,0.51694,0.40437,0.94254,0.004951,0.004951,0.004951
53,5194,0.50926,0.39731,0.89728,0.90857,0.89962,0.94912,0.86054,0.51669,0.40244,0.94434,0.004852,0.004852,0.004852
54,5295.48,0.51261,0.39676,0.89774,0.91269,0.89722,0.94891,0.86031,0.5145,0.40188,0.94277,0.004753,0.004753,0.004753
55,5396.91,0.50011,0.3877,0.89449,0.91444,0.89099,0.94863,0.86077,0.51388,0.40182,0.94318,0.004654,0.004654,0.004654
56,5498.46,0.50268,0.38794,0.89548,0.90603,0.8973,0.9479,0.86111,0.51084,0.40043,0.94173,0.004555,0.004555,0.004555
57,5599.78,0.50208,0.38869,0.89495,0.91701,0.88961,0.9481,0.86174,0.5088,0.39936,0.94122,0.004456,0.004456,0.004456
58,5701.59,0.50025,0.38549,0.89531,0.90504,0.89917,0.94826,0.86141,0.50681,0.3995,0.94064,0.004357,0.004357,0.004357
59,5803.27,0.49866,0.38271,0.89683,0.90348,0.90118,0.94839,0.86205,0.50549,0.39798,0.93946,0.004258,0.004258,0.004258
60,5905.07,0.49434,0.38048,0.89362,0.9136,0.89445,0.94905,0.86218,0.504,0.39603,0.93918,0.004159,0.004159,0.004159
61,6006.71,0.49126,0.37846,0.89247,0.907,0.90041,0.94879,0.8624,0.50389,0.39601,0.93928,0.00406,0.00406,0.00406
62,6107.69,0.48847,0.37468,0.89141,0.9139,0.896,0.94903,0.86244,0.50353,0.3959,0.93874,0.003961,0.003961,0.003961
