epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2448.96,0.64003,0.49237,0.93343,0.91388,0.88478,0.94421,0.83344,0.58977,0.45307,0.95875,0.005743,0.005743,0.005743
45,2504.4,0.63655,0.48915,0.93333,0.91264,0.88219,0.94402,0.83534,0.58599,0.4535,0.95831,0.005644,0.005644,0.005644
46,2559.64,0.63234,0.48536,0.93225,0.91084,0.88298,0.94381,0.83613,0.58254,0.45193,0.95727,0.005545,0.005545,0.005545
47,2615.28,0.63604,0.49035,0.93539,0.90759,0.88661,0.94365,0.83561,0.58241,0.45208,0.95888,0.005446,0.005446,0.005446
48,2670.67,0.63608,0.48766,0.9328,0.91036,0.87903,0.94354,0.83692,0.58264,0.45041,0.9589,0.005347,0.005347,0.005347
49,2726.03,0.63008,0.48539,0.9309,0.91232,0.88429,0.94504,0.83649,0.58074,0.4463,0.95514,0.005248,0.005248,0.005248
50,2781.66,0.63092,0.48636,0.93361,0.90301,0.89379,0.94559,0.83816,0.57699,0.44546,0.95427,0.005149,0.005149,0.005149
51,2837.07,0.62645,0.48052,0.93114,0.90713,0.88803,0.94526,0.83813,0.57908,0.44388,0.95638,0.00505,0.00505,0.00505
52,2892.19,0.62199,0.47875,0.92712,0.90967,0.88775,0.94556,0.83848,0.57985,0.44238,0.95921,0.004951,0.004951,0.004951
53,2947.71,0.61904,0.47753,0.92747,0.91447,0.88771,0.94576,0.83878,0.57665,0.44254,0.95714,0.004852,0.004852,0.004852
54,3003.13,0.6208,0.47784,0.92911,0.90549,0.89278,0.94664,0.83922,0.57556,0.44203,0.95777,0.004753,0.004753,0.004753
55,3058.51,0.60754,0.46741,0.92383,0.90878,0.89162,0.94644,0.84119,0.57282,0.44014,0.9562,0.004654,0.004654,0.004654
56,3114.08,0.60755,0.46427,0.92439,0.90681,0.89289,0.94621,0.84092,0.56979,0.43815,0.95342,0.004555,0.004555,0.004555
57,3169.48,0.60664,0.46648,0.92331,0.90654,0.89017,0.94595,0.84217,0.56835,0.43572,0.95288,0.004456,0.004456,0.004456
58,3224.74,0.60559,0.46491,0.92559,0.89982,0.89803,0.94576,0.84187,0.56671,0.43562,0.95255,0.004357,0.004357,0.004357
59,3280.23,0.60452,0.46109,0.92694,0.90778,0.89312,0.94588,0.84251,0.5644,0.43645,0.95153,0.004258,0.004258,0.004258
60,3335.72,0.60001,0.4573,0.92187,0.90619,0.89469,0.94637,0.84367,0.56401,0.4325,0.95131,0.004159,0.004159,0.004159
61,3390.81,0.59852,0.45806,0.92273,0.91361,0.88869,0.94613,0.84358,0.56323,0.43279,0.95236,0.00406,0.00406,0.00406
62,3446.2,0.59557,0.45346,0.92183,0.90842,0.89423,0.94633,0.84356,0.56111,0.43331,0.95223,0.003961,0.003961,0.003961
63,3501.62,0.59533,0.45183,0.9206,0.90539,0.89635,0.94549,0.84385,0.55944,0.43244,0.95181,0.003862,0.003862,0.003862
64,3557.17,0.58534,0.44745,0.91316,0.90451,0.8995,0.94584,0.84433,0.55913,0.42991,0.9518,0.003763,0.003763,0.003763
65,3612.21,0.58771,0.44747,0.91944,0.90681,0.89564,0.94609,0.84415,0.56038,0.42921,0.95207,0.003664,0.003664,0.003664
66,3667.69,0.58353,0.4472,0.91638,0.90795,0.89148,0.94558,0.84378,0.56085,0.42811,0.9521,0.003565,0.003565,0.003565
67,3723.05,0.58181,0.44352,0.91696,0.90524,0.89528,0.94589,0.84444,0.56056,0.42745,0.95346,0.003466,0.003466,0.003466
68,3778.6,0.5834,0.4425,0.91686,0.90355,0.8945,0.94563,0.84473,0.55878,0.42704,0.95233,0.003367,0.003367,0.003367
69,3833.85,0.58275,0.44272,0.91741,0.90272,0.89781,0.94578,0.84532,0.55763,0.42639,0.95124,0.003268,0.003268,0.003268
70,3889.23,0.57735,0.44384,0.91742,0.90362,0.89697,0.94554,0.84519,0.55689,0.42637,0.95072,0.003169,0.003169,0.003169
71,3944.57,0.57389,0.43384,0.91506,0.90413,0.89723,0.94599,0.84591,0.55539,0.42464,0.95056,0.00307,0.00307,0.00307
72,4000.2,0.57538,0.43098,0.91496,0.9052,0.89562,0.94597,0.84579,0.55437,0.42387,0.95032,0.002971,0.002971,0.002971
73,4055.69,0.56645,0.42953,0.9108,0.9053,0.89406,0.94594,0.84621,0.55317,0.42314,0.95001,0.002872,0.002872,0.002872
74,4111.1,0.56424,0.42357,0.91196,0.90445,0.89645,0.94614,0.84654,0.55226,0.42258,0.94964,0.002773,0.002773,0.002773
